Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
37.45,17.05,32.53,11.96,80.74,23.96,11.35,65.2,37.02,91.32,72.61,4.6
95.07,6.51,38.87,71.32,89.61,14.49,92.47,22.43,1.55,51.13,97.59,4.07
73.2,94.89,27.13,76.08,31.8,48.95,87.73,71.22,92.83,50.15,51.63,85.55
59.87,96.56,82.87,56.13,11.01,98.57,25.79,23.72,42.82,79.83,32.3,70.37
15.6,80.84,35.68,77.1,22.79,24.21,66.0,32.54,96.67,65.0,79.52,47.42
15.6,30.46,28.09,49.38,42.71,67.21,81.72,74.65,96.36,70.2,27.08,9.78
5.81,9.77,54.27,52.27,81.8,76.16,55.52,64.96,85.3,79.58,43.9,49.16
86.62,68.42,14.09,42.75,86.07,23.76,52.97,84.92,29.44,89.0,7.85,47.35
60.11,44.02,80.22,2.54,0.7,72.82,24.19,65.76,38.51,33.8,2.54,17.32
70.81,12.2,7.46,10.79,51.07,36.78,9.31,56.83,85.11,37.56,96.26,43.39
2.06,49.52,98.69,3.14,41.74,63.23,89.72,9.37,31.69,9.4,83.6,39.85
96.99,3.44,77.22,63.64,22.21,63.35,90.04,36.77,16.95,57.83,69.6,61.59
83.24,90.93,19.87,31.44,11.99,53.58,63.31,26.52,55.68,3.59,40.9,63.51
21.23,25.88,0.55,50.86,33.76,9.03,33.9,24.4,93.62,46.56,17.33,4.53
18.18,66.25,81.55,90.76,94.29,83.53,34.92,97.3,69.6,54.26,15.64,37.46
18.34,31.17,70.69,24.93,32.32,32.08,72.6,39.31,57.01,28.65,25.02,62.59
30.42,52.01,72.9,41.04,51.88,18.65,89.71,89.2,9.72,59.08,54.92,50.31
52.48,54.67,77.13,75.56,70.3,4.08,88.71,63.11,61.5,3.05,71.46,85.65
43.19,18.49,7.4,22.88,36.36,59.09,77.99,79.48,99.01,3.73,66.02,65.87
29.12,96.96,35.85,7.7,97.18,67.76,64.2,50.26,14.01,82.26,27.99,16.29
61.19,77.51,11.59,28.98,96.24,1.66,8.41,57.69,51.83,36.02,95.49,7.06
13.95,93.95,86.31,16.12,25.18,51.21,16.16,49.25,87.74,12.71,73.79,64.24
29.21,89.48,62.33,92.97,49.72,22.65,89.86,19.52,74.08,52.22,55.44,2.65
36.64,59.79,33.09,80.81,30.09,64.52,60.64,72.25,69.7,77.0,61.17,58.58
45.61,92.19,6.36,63.34,28.48,17.44,0.92,28.08,70.25,21.58,41.96,94.02
78.52,8.85,31.1,87.15,3.69,69.09,10.15,2.43,35.95,62.29,24.77,57.55
19.97,19.6,32.52,80.37,60.96,38.67,66.35,64.55,29.36,8.53,35.6,38.82
51.42,4.52,72.96,18.66,50.27,93.67,0.51,17.71,80.94,5.17,75.78,64.33
59.24,,63.76,89.26,5.15,13.75,16.08,94.05,81.01,53.14,1.44,45.83
4.65,,88.72,53.93,27.86,34.11,54.87,95.39,86.71,54.06,11.61,54.56
60.75,,47.22,,90.83,,69.19,91.49,,63.74,,94.15
